geocodigo,nome_mesorregiao,nome_microrregiao,NM_MUNICIPIO
3520442,Araçatuba,Andradina,ILHA SOLTEIRA
3520400,Vale do Paraíba Paulista,Caraguatatuba,ILHABELA
3520509,Campinas,Campinas,INDAIATUBA
3520608,Presidente Prudente,Presidente Prudente,INDIANA
3520707,São José do Rio Preto,Fernandópolis,INDIAPORÃ
3520806,Presidente Prudente,Adamantina,INÚBIA PAULISTA
3520905,Assis,Ourinhos,IPAUSSU
3521002,Macro Metropolitana Paulista,Sorocaba,IPERÓ
3521101,Piracicaba,Rio Claro,IPEÚNA
3521150,São José do Rio Preto,São José do Rio Preto,IPIGUÁ
3521200,Itapetininga,Capão Bonito,IPORANGA
3521309,Ribeirão Preto,São Joaquim da Barra,IPUÃ
3521408,Piracicaba,Limeira,IRACEMÁPOLIS
3521606,Presidente Prudente,Adamantina,IRAPURU
3521507,São José do Rio Preto,Novo Horizonte,IRAPUÃ
3521705,Itapetininga,Itapeva,ITABERÁ
3521903,São José do Rio Preto,Novo Horizonte,ITAJOBI
3522000,Bauru,Jaú,ITAJU
3522109,Litoral Sul Paulista,Itanhaém,ITANHAÉM
3522158,Itapetininga,Capão Bonito,ITAOCA
3522208,Metropolitana de São Paulo,Itapecerica da Serra,ITAPECERICA DA SERRA
3522307,Itapetininga,Itapetininga,ITAPETININGA
3522406,Itapetininga,Itapeva,ITAPEVA
3522505,Metropolitana de São Paulo,Osasco,ITAPEVI
3522604,Campinas,Mogi Mirim,ITAPIRA
3522653,Itapetininga,Capão Bonito,ITAPIRAPUÃ PAULISTA
3522802,Itapetininga,Itapeva,ITAPORANGA
3523008,Araçatuba,Andradina,ITAPURA
3522901,Bauru,Jaú,ITAPUÍ
3523107,Metropolitana de São Paulo,Mogi das Cruzes,ITAQUAQUECETUBA
3523206,Itapetininga,Itapeva,ITARARÉ
3523305,Litoral Sul Paulista,Itanhaém,ITARIRI
3523404,Macro Metropolitana Paulista,Bragança Paulista,ITATIBA
3523503,Bauru,Avaré,ITATINGA
3521804,Bauru,Avaré,ITAÍ
3523602,Piracicaba,Rio Claro,ITIRAPINA
3523701,Ribeirão Preto,Franca,ITIRAPUÃ
3523800,Campinas,São João da Boa Vista,ITOBI
3523909,Macro Metropolitana Paulista,Sorocaba,ITU
3524006,Macro Metropolitana Paulista,Jundiaí,ITUPEVA
3524105,Ribeirão Preto,Ituverava,ITUVERAVA
3522703,Araraquara,Araraquara,ITÁPOLIS
3524204,Ribeirão Preto,São Joaquim da Barra,JABORANDI
3524303,Ribeirão Preto,Jaboticabal,JABOTICABAL
3524402,Vale do Paraíba Paulista,São José dos Campos,JACAREÍ
3524501,São José do Rio Preto,São José do Rio Preto,JACI
3524600,Litoral Sul Paulista,Registro,JACUPIRANGA
3524709,Campinas,Campinas,JAGUARIÚNA
3524808,São José do Rio Preto,Jales,JALES
3524907,Vale do Paraíba Paulista,Paraibuna/Paraitinga,JAMBEIRO
3525003,Metropolitana de São Paulo,Osasco,JANDIRA
3525102,Ribeirão Preto,Ribeirão Preto,JARDINÓPOLIS
3525201,Macro Metropolitana Paulista,Bragança Paulista,JARINU
3525300,Bauru,Jaú,JAÚ
3525409,Ribeirão Preto,Franca,JERIQUARA
3525508,Macro Metropolitana Paulista,Bragança Paulista,JOANÓPOLIS
3525706,São José do Rio Preto,São José do Rio Preto,JOSÉ BONIFÁCIO
3525607,Presidente Prudente,Presidente Prudente,JOÃO RAMALHO
3525854,Piracicaba,Piracicaba,JUMIRIM
3525904,Macro Metropolitana Paulista,Jundiaí,JUNDIAÍ
3526001,Presidente Prudente,Dracena,JUNQUEIRÓPOLIS
3526209,Metropolitana de São Paulo,Itapecerica da Serra,JUQUITIBA
3526100,Litoral Sul Paulista,Registro,JUQUIÁ
3525805,Bauru,Lins,JÚLIO MESQUITA
3526308,Vale do Paraíba Paulista,Paraibuna/Paraitinga,LAGOINHA
3526407,Itapetininga,Tatuí,LARANJAL PAULISTA
3526605,Vale do Paraíba Paulista,Guaratinguetá,LAVRINHAS
3526506,Araçatuba,Araçatuba,LAVÍNIA
3526704,Piracicaba,Limeira,LEME
3526803,Bauru,Bauru,LENÇÓIS PAULISTA
3526902,Piracicaba,Limeira,LIMEIRA
3527009,Campinas,Amparo,LINDÓIA
3527108,Bauru,Lins,LINS
3527207,Vale do Paraíba Paulista,Guaratinguetá,LORENA
3527256,Araçatuba,Birigui,LOURDES
3527306,Macro Metropolitana Paulista,Jundiaí,LOUVEIRA
3527504,Bauru,Bauru,LUCIANÓPOLIS
3527405,Presidente Prudente,Adamantina,LUCÉLIA
3527702,Araçatuba,Birigui,LUIZIÂNIA
3527801,Marília,Marília,LUPÉRCIO
3527900,Assis,Assis,LUTÉCIA
3527603,Ribeirão Preto,Ribeirão Preto,LUÍS ANTÔNIO
3528007,Bauru,Jaú,MACATUBA
3528106,São José do Rio Preto,Nhandeara,MACAUBAL
3528205,São José do Rio Preto,Fernandópolis,MACEDÔNIA
3528304,São José do Rio Preto,Auriflama,MAGDA
3528403,Macro Metropolitana Paulista,Sorocaba,MAIRINQUE
3528502,Metropolitana de São Paulo,Franco da Rocha,MAIRIPORÃ
3528601,Assis,Ourinhos,MANDURI
3528700,Presidente Prudente,Presidente Prudente,MARABÁ PAULISTA
3528809,Assis,Assis,MARACAÍ
3528858,São José do Rio Preto,Novo Horizonte,MARAPOAMA
3529104,São José do Rio Preto,Jales,MARINÓPOLIS
3528908,Presidente Prudente,Adamantina,MARIÁPOLIS
3529203,Presidente Prudente,Presidente Prudente,MARTINÓPOLIS
3529005,Marília,Marília,MARÍLIA
3529302,Araraquara,Araraquara,MATÃO
3529401,Metropolitana de São Paulo,São Paulo,MAUÁ
3529500,São José do Rio Preto,São José do Rio Preto,MENDONÇA
3529609,São José do Rio Preto,Fernandópolis,MERIDIANO
3529658,São José do Rio Preto,Jales,MESÓPOLIS
3529708,Ribeirão Preto,São Joaquim da Barra,MIGUELÓPOLIS
3529807,Bauru,Jaú,MINEIROS DO TIETÊ
3530003,São José do Rio Preto,Fernandópolis,MIRA ESTRELA
3529906,Litoral Sul Paulista,Registro,MIRACATU
3530102,Araçatuba,Andradina,MIRANDÓPOLIS
3530201,Presidente Prudente,Presidente Prudente,MIRANTE DO PARANAPANEMA
3530300,São José do Rio Preto,São José do Rio Preto,MIRASSOL
3530409,São José do Rio Preto,São José do Rio Preto,MIRASSOLÂNDIA
3530508,Campinas,São João da Boa Vista,MOCOCA
3530706,Campinas,Mogi Mirim,MOGI GUAÇU
3530805,Campinas,Mogi Mirim,MOGI MIRIM
3530607,Metropolitana de São Paulo,Mogi das Cruzes,MOGI DAS CRUZES
3530904,Piracicaba,Piracicaba,MOMBUCA
3531100,Litoral Sul Paulista,Itanhaém,MONGAGUÁ
3531209,Campinas,Amparo,MONTE ALEGRE DO SUL
3531308,Ribeirão Preto,Jaboticabal,MONTE ALTO
3531407,São José do Rio Preto,Nhandeara,MONTE APRAZÍVEL
3531506,Ribeirão Preto,Jaboticabal,MONTE AZUL PAULISTA
3531605,Presidente Prudente,Dracena,MONTE CASTELO
3531803,Campinas,Campinas,MONTE MOR
3531704,Vale do Paraíba Paulista,Campos do Jordão,MONTEIRO LOBATO
3531001,São José do Rio Preto,Nhandeara,MONÇÕES
3531902,Ribeirão Preto,São Joaquim da Barra,MORRO AGUDO
3532009,Macro Metropolitana Paulista,Bragança Paulista,MORUNGABA
3532058,Araraquara,Araraquara,MOTUCA
3532108,Araçatuba,Andradina,MURUTINGA DO SUL
3532157,Assis,Assis,NANTES
3532207,Presidente Prudente,Presidente Prudente,NARANDIBA
3532306,Vale do Paraíba Paulista,Paraibuna/Paraitinga,NATIVIDADE DA SERRA
3532405,Macro Metropolitana Paulista,Bragança Paulista,NAZARÉ PAULISTA
3532504,São José do Rio Preto,Nhandeara,NEVES PAULISTA
3532603,São José do Rio Preto,Nhandeara,NHANDEARA
3532702,São José do Rio Preto,Nhandeara,NIPOÃ
3532801,São José do Rio Preto,São José do Rio Preto,NOVA ALIANÇA
3532827,Itapetininga,Itapeva,NOVA CAMPINA
3532843,São José do Rio Preto,Jales,NOVA CANAÃ PAULISTA
3532868,São José do Rio Preto,Auriflama,NOVA CASTILHO
3532900,Araraquara,Araraquara,NOVA EUROPA
3533007,São José do Rio Preto,São José do Rio Preto,NOVA GRANADA
3533106,Presidente Prudente,Dracena,NOVA GUATAPORANGA
3533205,Araçatuba,Andradina,NOVA INDEPENDÊNCIA
3533304,São José do Rio Preto,Auriflama,NOVA LUZITÂNIA
3533403,Campinas,Campinas,NOVA ODESSA
3533254,São José do Rio Preto,Catanduva,NOVAIS
3533502,São José do Rio Preto,Novo Horizonte,NOVO HORIZONTE
3533601,Ribeirão Preto,São Joaquim da Barra,NUPORANGA
3533700,Marília,Marília,OCAUÇU
3533908,São José do Rio Preto,São José do Rio Preto,OLÍMPIA
3534005,São José do Rio Preto,São José do Rio Preto,ONDA VERDE
3534104,Marília,Marília,ORIENTE
3534203,São José do Rio Preto,São José do Rio Preto,ORINDIÚVA
3534302,Ribeirão Preto,São Joaquim da Barra,ORLÂNDIA
3534401,Metropolitana de São Paulo,Osasco,OSASCO
3534500,Marília,Marília,OSCAR BRESSANE
3534609,Presidente Prudente,Adamantina,OSVALDO CRUZ
3534708,Assis,Ourinhos,OURINHOS
3534807,Presidente Prudente,Dracena,OURO VERDE
3534757,São José do Rio Preto,Fernandópolis,OUROESTE
3534906,Presidente Prudente,Adamantina,PACAEMBU
3535002,São José do Rio Preto,São José do Rio Preto,PALESTINA
3535101,São José do Rio Preto,Catanduva,PALMARES PAULISTA
3535200,São José do Rio Preto,Jales,PALMEIRA D OESTE
3535309,Assis,Assis,PALMITAL
3535408,Presidente Prudente,Dracena,PANORAMA
3535507,Assis,Assis,PARAGUAÇU PAULISTA
3535606,Vale do Paraíba Paulista,Paraibuna/Paraitinga,PARAIBUNA
3535804,Bauru,Avaré,PARANAPANEMA
3535903,São José do Rio Preto,Jales,PARANAPUÃ
3536000,Presidente Prudente,Adamantina,PARAPUÃ
3535705,São José do Rio Preto,Catanduva,PARAÍSO
3536109,Bauru,Botucatu,PARDINHO
3536208,Litoral Sul Paulista,Registro,PARIQUERA-AÇU
3536257,São José do Rio Preto,Votuporanga,PARISI
3536307,Ribeirão Preto,Franca,PATROCÍNIO PAULISTA
3536406,Presidente Prudente,Dracena,PAULICÉIA
3536570,Bauru,Bauru,PAULISTÂNIA
3536604,São José do Rio Preto,São José do Rio Preto,PAULO DE FARIA
3536505,Campinas,Campinas,PAULÍNIA
3536703,Bauru,Jaú,PEDERNEIRAS
